"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03721V04469","Transaction Class","C03789V04537","Local Authority Area","UNIT","VALUE"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","1540"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","410"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","520"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","1430"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","280"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","1070"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","470"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","530"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","1990"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","570"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","1000"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","1110"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","830"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","1180"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","-","All Transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","1400"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","IE0","Ireland","Number","17510"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","500"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","470"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","330"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","1490"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","210"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","2320"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","770"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","600"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","1010"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","620"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","420"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","680"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","280"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","580"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","220"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","530"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","790"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","220"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","260"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","580"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","160"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","560"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","210"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","280"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","660"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","280"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","500"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","540"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","400"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","420"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","110","Sole transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","640"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","IE0","Ireland","Number","21880"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","470"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","490"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","290"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","2050"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","230"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","2520"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","1420"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","580"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","1940"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","710"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","430"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","1280"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","320"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","630"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","180"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","530"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","750"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","190"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","260"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","850"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","130"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","520"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","260"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","250"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","1340"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","290"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","500"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","570"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","430"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","760"
"CRP02C1","Volume of Sales","2015","2015","02","Executions","120","Joint transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","760"
"CRP02C1","Volume of Sales","2016","2016","01","Filings","-","All Transactions","IE0","Ireland","Number","40150"
"CRP02C1","Volume of Sales","2016","2016","01","Filings","-","All Transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","940"
"CRP02C1","Volume of Sales","2016","2016","01","Filings","-","All Transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","1020"
"CRP02C1","Volume of Sales","2016","2016","01","Filings","-","All Transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","600"
"CRP02C1","Volume of Sales","2016","2016","01","Filings","-","All Transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","3530"
"CRP02C1","Volume of Sales","2016","2016","01","Filings","-","All Transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","430"
